,epoch,train_loss,val_loss
0,1,1791.4991054534912,0.0
1,2,1494.5106163024902,0.0
2,3,1321.269826889038,0.0
3,4,1224.1408729553223,0.0
4,5,1178.2986550331116,0.0
5,6,1120.076768875122,0.0
6,7,1080.1945152282715,0.0
7,8,1047.6677627563477,0.0
8,9,1018.3980345726013,0.0
9,10,990.581136226654,994.8013024330139
10,11,966.2808403968811,0.0
11,12,939.8905553817749,0.0
12,13,920.1676349639893,0.0
13,14,903.064450263977,0.0
14,15,891.8889970779419,0.0
15,16,874.5786309242249,0.0
16,17,859.684187412262,0.0
17,18,851.8867962360382,0.0
18,19,837.4637413024902,0.0
19,20,822.4068517684937,831.8897202014923
20,21,810.2750194072723,0.0
21,22,799.3585605621338,0.0
22,23,786.4983260631561,0.0
23,24,776.0729110240936,0.0
24,25,767.9276189804077,0.0
25,26,764.6777861118317,0.0
26,27,755.1062653064728,0.0
27,28,746.071380853653,0.0
28,29,734.2285561561584,0.0
29,30,733.2397739887238,755.5800013542175
30,31,720.547417640686,0.0
31,32,715.9020719528198,0.0
32,33,712.2985846996307,0.0
33,34,703.973991394043,0.0
34,35,691.2520072460175,0.0
35,36,687.0496895313263,0.0
36,37,684.0466604232788,0.0
37,38,682.0024588108063,0.0
38,39,675.7456924915314,0.0
39,40,671.1498348712921,717.6038866043091
40,41,670.7160742282867,0.0
41,42,658.3969974517822,0.0
42,43,661.2923548221588,0.0
43,44,651.3032879829407,0.0
44,45,643.7362837791443,0.0
45,46,647.7658925056458,0.0
46,47,637.8614113330841,0.0
47,48,630.2101211547852,0.0
48,49,628.4134817123413,0.0
